CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,01/08/2030 06:30:00 PM,14-027546,VANDALISM,30X,2500 HAVENSCOURT BLVD,Oakland,CA,"2500 HAVENSCOURT BLVD
Oakland, CA
(37.76682643300046, -122.18567427899973)"
VANDALISM,01/01/2040 12:00:00 AM,14-031456,"VANDALISM [UNDER $1,000] (AMENDED)",20X,2600 E 12TH ST,Oakland,CA,"2600 E 12TH ST
Oakland, CA
(37.780514611000456, -122.2332951409997)"
STOLEN VEHICLE,07/02/2914 07:00:00 PM,14-033621,VEHICLE THEFT - AUTO,31Y,300 HUNTER AVE,Oakland,CA,"300 HUNTER AVE
Oakland, CA
(37.73186561200049, -122.18344968499969)"
DISORDERLY CONDUCT,01/07/2020 05:00:00 PM,14-018939,SUPV/ETC PROSTITUTION,19X,1700 EMBARCADERO,Oakland,CA,"1700 EMBARCADERO
Oakland, CA
(37.7850162310005, -122.24417795299968)"
BURG - AUTO,04/14/2019 11:00:00 AM,14-019401,BURGLARY-AUTO,12X,300 ORANGE ST,Oakland,CA,"300 ORANGE ST
Oakland, CA
(37.81594611000048, -122.2565967429997)"
ROBBERY,01/11/2030 07:00:00 PM,14-023460,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3600 BLK OF INTERNATIONAL BL,Oakland,CA,"3600 BLK OF INTERNATIONAL BL
Oakland, CA
(37.80508210800048, -122.27306651899971)"
STOLEN VEHICLE,05/07/2016 12:00:00 PM,14-023925,VEHICLE THEFT - AUTO,27X,2200 47TH AVE,Oakland,CA,"2200 47TH AVE
Oakland, CA
(37.77662198100046, -122.2061146049997)"
VANDALISM,02/01/2040 09:40:00 PM,14-035766,"VANDALISM [UNDER $1,000] (AMENDED)",09X,600 FAIRMOUNT AV,Oakland,CA,"600 FAIRMOUNT AV
Oakland, CA
(37.82206356600045, -122.25385249399972)"
BURG - RESIDENTIAL,01/01/2034 10:00:00 AM,14-047941,BURGLARY-FORCIBLE ENTRY,31Z,11100 ACALANES DR,Oakland,CA,"11100 ACALANES DR
Oakland, CA
(37.72871355900048, -122.17302913799972)"
MISDEMEANOR ASSAULT,01/07/2019 06:27:00 PM,14-054853,SC BATTERY,34X,1400 89TH AV,Oakland,CA,"1400 89TH AV
Oakland, CA
(37.7503827540005, -122.17475164499967)"
DOMESTIC VIOLENCE,11/23/2015 06:30:00 PM,15-062331,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26X,1300 52ND AV,Oakland,CA,"1300 52ND AV
Oakland, CA
(37.7678, -122.207821)"
DISORDERLY CONDUCT,11/23/2015 02:45:00 AM,15-062381,DISTURB THE PEACE,17X,2000 5TH AV,Oakland,CA,"2000 5TH AV
Oakland, CA
(37.799695, -122.248284)"
MISDEMEANOR ASSAULT,11/23/2015 04:40:00 PM,15-062520,ASSAULT WITH FIREARM ON PERSON,05X,1000 14TH ST,Oakland,CA,"1000 14TH ST
Oakland, CA
(37.808911, -122.282872)"
ROBBERY,11/23/2015 04:25:00 PM,15-062516,ROBBERY-FIREARM,26Y,7900 INTERNATIONAL BLVD,Oakland,CA,"7900 INTERNATIONAL BLVD
Oakland, CA
(37.756946, -122.182237)"
PETTY THEFT,11/23/2015 03:18:00 PM,15-062504,THEFT,09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826131, -122.251347)"
NARCOTICS,11/23/2015 01:30:00 PM,15-062472,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,26Y,1300 69TH AV,Oakland,CA,"1300 69TH AV
Oakland, CA
(37.76048, -122.190542)"
DOMESTIC VIOLENCE,11/23/2015 08:00:00 PM,15-062557,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,900 JEFFERSON ST,Oakland,CA,"900 JEFFERSON ST
Oakland, CA
(37.802287, -122.276933)"
VANDALISM,11/23/2015 06:23:00 PM,15-062531,VANDALISM-$400,26Y,6800 HAWLEY ST,Oakland,CA,"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)"
DOMESTIC VIOLENCE,11/23/2015 06:09:00 PM,15-062530,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22X,4200 LINNET AV,Oakland,CA,"4200 LINNET AV
Oakland, CA
(37.80645, -122.204387)"
RECOVERED VEHICLE - OAKLAND STOLEN,11/23/2015 03:00:00 PM,15-062526,VEHICLE THEFT - AUTO,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785579, -122.222024)"
BURG - RESIDENTIAL,11/23/2015 09:45:00 AM,15-062541,BURGLARY-FORCIBLE ENTRY,25Y,700 CANYON OAKS DR,Oakland,CA,"700 CANYON OAKS DR
Oakland, CA
(37.773615, -122.144338)"
MISDEMEANOR ASSAULT,11/23/2015 03:00:00 PM,15-062495,BATTERY,23X,4000 E 18TH ST,Oakland,CA,"4000 E 18TH ST
Oakland, CA
(37.776614, -122.216367)"
ROBBERY,11/23/2015 10:29:00 PM,15-062540,"SC ROBBERY - HANDS, FISTS, FEET, ETC, - AGGRAVATED",99X,3900 SAN PABLO AVENUE,Oakland,CA,"3900 SAN PABLO AVENUE
Oakland, CA
(37.829994, -122.279465)"
BURG - AUTO,11/23/2015 07:21:00 AM,15-062456,BURGLARY-AUTO,13Y,00 JEWELL CT,Oakland,CA,"00 JEWELL CT
Oakland, CA
"
ROBBERY,11/23/2015 09:40:00 PM,15-062539,ROBBERY-FIREARM,24Y,3800 DALE PL,Oakland,CA,"3800 DALE PL
Oakland, CA
(37.786529, -122.204528)"
DOMESTIC VIOLENCE,11/24/2015 12:01:00 AM,15-062556,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785579, -122.222024)"
STOLEN VEHICLE,11/23/2015 07:30:00 AM,15-062406,VEHICLE THEFT - AUTO,27X,2200 VICKSBURG AV,Oakland,CA,"2200 VICKSBURG AV
Oakland, CA
(37.776413, -122.203498)"
FELONY ASSAULT,11/23/2015 05:48:00 PM,15-062524,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,900 W GRAND AV,Oakland,CA,"900 W GRAND AV
Oakland, CA
(37.814566, -122.278616)"
BURG - AUTO,11/23/2015 10:53:00 AM,15-062429,BURGLARY-AUTO,18Y,2200 E 32ND ST,Oakland,CA,"2200 E 32ND ST
Oakland, CA
(37.799021, -122.225969)"
DOMESTIC VIOLENCE,11/23/2015 04:10:00 PM,15-062510,THREAT CRIME:INT:TERRORIZE,10X,900 56TH ST,Oakland,CA,"900 56TH ST
Oakland, CA
(37.840144, -122.274089)"
RECOVERED O/S STOLEN,11/23/2015 12:22:00 PM,15-062457,VEHICLE THEFT - AUTO,03X,400 13TH ST,Oakland,CA,"400 13TH ST
Oakland, CA
(37.803281, -122.270706)"
